role,subtree,kind,n_requests,tokens_avg,tokens_p50,tokens_p95,tokens_min,tokens_max,pct_of_input_p50,static,distinct_serializations,duplicated,factor_source,static_factor_used,dynamic_factor_used
adjudicator,envelope.evidence_catalog,envelope_section,7,6100.706,6105.423,6113.805,6063.514,6114.948,46.17,False,36,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,evidence_catalog.items,catalog_items,7,6051.721,6056.529,6065.673,6012.08,6066.054,45.8,True,1,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,envelope.candidate,envelope_section,7,4485.656,4212.52,5553.49,4178.23,6108.598,31.86,False,36,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,key_names:whole_input,key_names,7,3756.234,3639.759,4218.489,3628.329,4466.516,27.53,False,0,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,evidence_catalog.items.p,catalog_component,7,2997.059,3000.325,3000.325,2977.465,3000.325,22.69,True,1,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,leaf_class:labels_descriptions_prose,leaf_class,7,2936.191,2920.316,3026.868,2893.012,3071.444,22.09,False,0,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,evidence_catalog.items.keys_punctuation,catalog_component,7,2188.99,2190.713,2191.158,2179.284,2191.348,16.57,True,1,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,evidence_catalog.items.key_names_only,catalog_component,7,1893.357,1894.808,1894.808,1884.649,1894.808,14.33,True,1,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,leaf_class:labels_short,leaf_class,7,1833.759,1829.404,1853.471,1817.34,1856.709,13.84,False,0,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,leaf_class:numbers_int_float,leaf_class,7,752.825,695.948,1001.124,668.009,1130.281,5.26,False,0,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,evidence_catalog.items.v,catalog_component,7,649.957,648.959,658.738,640.704,659.119,4.91,True,1,yes_class_a_c,role_median_global_factor_no_anchor_observed,0.63499,0.63499
adjudicator,leaf_class:ids_hashes,leaf_class,7,573.849,550.536,713.538,513.071,780.402,4.16,False,0,,role_median_global_factor_no_anchor_observed,0.63499,0.63499
