ts_utc,source,operation,status,request_id,response_id,model,reasoning_effort,max_output_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,estimated_cost_usd,error_type,error_message
2026-06-19T14:44:41+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_CADJPY_5078,resp_00f1799ca5c2d2f8016a3555d64e908191ab7ba29b69346132,gpt-5.4-mini,low,25000,4442,0,385,177,4827,0.005064,,
2026-06-19T14:44:42+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_D30EUR_4624,resp_0fef9a53d008e7af016a3555d64ec081a0b54d82fbe3e56c3c,gpt-5.4-mini,low,25000,4476,0,422,203,4898,0.005256,,
2026-06-19T14:44:42+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_225JPY_21617,resp_05df419770857c8d016a3555d6538c819db0a17db8fd73d75c,gpt-5.4-mini,low,25000,4484,0,523,299,5007,0.0057165,,
2026-06-19T14:44:43+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_GBPAUD_2347,resp_0470bcdffdc6ed20016a3555d69ad481929b8291495a0a472d,gpt-5.4-mini,low,25000,4539,0,542,321,5081,0.00584325,,
2026-06-19T14:44:44+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_NZDJPY_3854,resp_060aa1c560c6a6d7016a3555d9bd10819dbe92764433255105,gpt-5.4-mini,low,25000,4442,0,264,62,4706,0.0045195,,
2026-06-19T14:44:45+00:00,ai_gate,trade_gate.create_structured,ok,1781891074_NZDUSD_16218,resp_04a0706d154f1371016a3555da192c81928ee9441b16a77951,gpt-5.4-mini,low,25000,4460,0,409,210,4869,0.0051855,,
2026-06-19T14:44:59+00:00,ai_gate,trade_gate.create_structured,ok,1781891096_EURNZD_5370,resp_0e61f40f081ef554016a3555e8d638819ca6c259df5778ce66,gpt-5.4-mini,low,25000,4422,0,242,37,4664,0.0044055,,
2026-06-19T14:45:00+00:00,ai_gate,trade_gate.create_structured,ok,1781891096_NASUSD_13711,resp_09b2e9724af156b2016a3555e8f79c81928da0e692560406b1,gpt-5.4-mini,low,25000,4448,0,270,81,4718,0.004551,,
2026-06-19T14:45:00+00:00,ai_gate,trade_gate.create_structured,ok,1781891096_U30USD_14055,resp_0f330f1f26516295016a3555e91148819e963d37ae84c3e362,gpt-5.4-mini,low,25000,4414,0,355,139,4769,0.004908,,
2026-06-19T14:45:00+00:00,ai_gate,trade_gate.create_structured,ok,1781891096_EURGBP_4180,resp_0d25959994a92256016a3555e8ccf88192abdbe640f62aa752,gpt-5.4-mini,low,25000,4499,0,394,187,4893,0.00514725,,
2026-06-19T14:48:38+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_NASUSD_4196,resp_0ef9b48924f8037b016a3556c38b2c81a0848eba14ef54ac49,gpt-5.4-mini,low,25000,4446,0,259,62,4705,0.0045,,
2026-06-19T14:48:39+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_CADJPY_21169,resp_04299d2ea70d49d5016a3556c34e048192b7a7765b561f38ae,gpt-5.4-mini,low,25000,4421,0,425,225,4846,0.00522825,,
2026-06-19T14:48:39+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_225JPY_32465,resp_00a15f4a6e37a924016a3556c33f6c81a1bfd3564bb2420ae9,gpt-5.4-mini,low,25000,4477,0,346,151,4823,0.00491475,,
2026-06-19T14:48:39+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_D30EUR_21993,resp_08221f22c518ce83016a3556c36de8819cb555636b4bbc8e0d,gpt-5.4-mini,low,25000,4461,0,508,281,4969,0.00563175,,
2026-06-19T14:48:42+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_GBPAUD_18756,resp_0d9acac8fc2d32ef016a3556c6faec819e91642d895d0cb756,gpt-5.4-mini,low,25000,4448,0,388,177,4836,0.005082,,
2026-06-19T14:48:43+00:00,ai_gate,trade_gate.create_structured,ok,1781891315_USOUSD_11758,resp_07758affc4655e1e016a3556c6395881a288edec57701b4f76,gpt-5.4-mini,low,25000,4407,0,567,345,4974,0.00585675,,
2026-06-19T14:49:13+00:00,ai_gate,trade_gate.create_structured,ok,1781891349_EURNZD_5240,resp_0e24d715d20a3860016a3556e60238819f8e8ec59ed70a60d3,gpt-5.4-mini,low,25000,4435,0,360,129,4795,0.00494625,,
2026-06-19T14:49:13+00:00,ai_gate,trade_gate.create_structured,ok,1781891349_AUDJPY_8085,resp_03f2c23a9f7c80e5016a3556e67f8c819ca972162881b83a09,gpt-5.4-mini,low,25000,4434,0,323,117,4757,0.004779,,
2026-06-19T14:49:14+00:00,ai_gate,trade_gate.create_structured,ok,1781891349_EURGBP_11459,resp_08a6e6d642dc28cd016a3556e5f534819c848a791950d3c057,gpt-5.4-mini,low,25000,4495,0,445,247,4940,0.00537375,,
2026-06-19T14:49:15+00:00,ai_gate,trade_gate.create_structured,ok,1781891349_NZDJPY_19874,resp_036e8f6e2f58399b016a3556e626c8819c819a16e5d858a806,gpt-5.4-mini,low,25000,4432,0,236,46,4668,0.004386,,
2026-06-19T14:49:17+00:00,ai_gate,trade_gate.create_structured,ok,1781891349_U30USD_19062,resp_0a563c832bae2a84016a3556e9aa5481a0b7d7424f4e5f705e,gpt-5.4-mini,low,25000,4425,0,414,216,4839,0.00518175,,
